job_id,job_title,salary_usd,salary_currency,experience_level,employment_type,company_location,company_size,employee_residence,remote_ratio,required_skills,education_required,years_experience,industry,posting_date,application_deadline,job_description_length,benefits_score,company_name
AI00043,AI Specialist,56745,USD,Entry-level,Part-Time,Finland,Large,Finland,Remote,"Spark, Mathematics, GCP",Associate,1,Telecommunications,2025-02-01,2025-04-11,502,5.5,Quantum Computing Inc
AI00044,Machine Learning Researcher,113455,USD,Senior-level,Full-Time,Singapore,Medium,Singapore,Hybrid,"Hadoop, Docker, Python, Azure",Associate,8,Retail,2024-04-24,2024-06-12,1281,8.0,AI Innovations
AI00045,ML Ops Engineer,158808,EUR,Senior-level,Part-Time,Netherlands,Medium,Netherlands,Hybrid,"Docker, R, Linux",Bachelor,5,Media,2025-03-03,2025-05-03,1926,7.4,Future Systems
AI00046,AI Research Scientist,174663,USD,Senior-level,Contract,United States,Medium,Singapore,Hybrid,"Data Visualization, Statistics, R",Associate,7,Media,2024-01-10,2024-03-22,1151,5.4,DeepTech Ventures
AI00047,AI Research Scientist,46753,USD,Entry-level,Contract,India,Small,India,Hybrid,"Scala, Java, Tableau",PhD,1,Manufacturing,2024-11-16,2024-12-18,2012,9.7,Quantum Computing Inc
AI00048,AI Software Engineer,69020,USD,Mid-level,Freelance,China,Large,China,Onsite,"Java, Azure, GCP",Bachelor,4,Energy,2024-09-05,2024-10-25,1584,8.8,TechCorp Inc
AI00050,AI Consultant,124871,USD,Executive,Freelance,Austria,Medium,Finland,Hybrid,"Hadoop, AWS, Linux, Docker, Statistics",PhD,19,Media,2025-03-10,2025-05-17,1556,8.0,Autonomous Tech
AI00051,AI Architect,70391,EUR,Mid-level,Full-Time,Germany,Small,Germany,Onsite,"Deep Learning, SQL, Mathematics",PhD,4,Government,2024-08-16,2024-10-19,1974,9.2,TechCorp Inc
AI00052,Research Scientist,115376,USD,Executive,Full-Time,India,Medium,India,Remote,"Linux, R, Azure, Mathematics, Git",Master,17,Technology,2024-03-12,2024-04-14,2028,5.5,Autonomous Tech
AI00053,Research Scientist,106579,USD,Mid-level,Part-Time,United States,Small,United States,Remote,"Docker, Tableau, Mathematics",Associate,3,Gaming,2024-02-24,2024-05-02,2028,5.4,Cognitive Computing
AI00054,Data Scientist,135230,USD,Senior-level,Part-Time,Norway,Small,Norway,Remote,"R, PyTorch, Kubernetes, Computer Vision",PhD,8,Consulting,2024-07-07,2024-09-09,1219,7.5,DataVision Ltd
AI00055,Research Scientist,67607,USD,Mid-level,Part-Time,Israel,Small,Israel,Hybrid,"Python, Tableau, TensorFlow, AWS",Master,4,Media,2024-08-05,2024-08-26,1714,8.6,Quantum Computing Inc
AI00056,AI Architect,88470,USD,Mid-level,Part-Time,Canada,Large,Canada,Onsite,"Azure, Kubernetes, TensorFlow, Statistics, Spark",Associate,3,Real Estate,2024-07-29,2024-09-27,1528,9.1,Autonomous Tech
AI00057,Autonomous Systems Engineer,79863,USD,Mid-level,Freelance,India,Large,India,Remote,"Python, Docker, GCP, Scala",Associate,4,Automotive,2024-09-28,2024-10-26,1325,5.6,Autonomous Tech
AI00058,Machine Learning Engineer,60299,USD,Entry-level,Part-Time,Israel,Large,Israel,Remote,"Git, Linux, Python, TensorFlow, Mathematics",PhD,0,Finance,2025-03-22,2025-05-01,1872,6.6,Advanced Robotics
AI00059,Machine Learning Engineer,85645,EUR,Mid-level,Full-Time,Germany,Medium,Germany,Onsite,"PyTorch, Computer Vision, R",Associate,4,Transportation,2024-02-09,2024-03-06,793,7.9,AI Innovations
AI00060,AI Software Engineer,110222,GBP,Senior-level,Freelance,United Kingdom,Small,France,Onsite,"R, Spark, AWS",Associate,8,Media,2024-03-20,2024-05-05,1945,9.0,TechCorp Inc
AI00061,Data Scientist,49365,USD,Entry-level,Full-Time,China,Medium,China,Onsite,"Tableau, NLP, Azure, Statistics, PyTorch",Associate,1,Finance,2024-06-22,2024-08-14,1907,10.0,Predictive Systems
AI00062,Data Scientist,162296,USD,Senior-level,Part-Time,Norway,Small,Norway,Hybrid,"TensorFlow, Azure, Computer Vision, Data Visualization",Bachelor,6,Finance,2024-06-05,2024-07-01,1714,6.2,Neural Networks Co
AI00063,AI Consultant,102382,USD,Mid-level,Part-Time,Switzerland,Medium,Switzerland,Onsite,"TensorFlow, Scala, Docker, Statistics",PhD,3,Education,2024-03-23,2024-06-03,2199,5.8,Smart Analytics
AI00064,AI Software Engineer,99972,USD,Mid-level,Part-Time,Australia,Medium,Canada,Hybrid,"Java, R, Deep Learning, NLP, Azure",PhD,4,Technology,2024-02-20,2024-03-15,799,6.5,Cloud AI Solutions
AI00065,Data Engineer,64129,USD,Entry-level,Contract,South Korea,Large,South Korea,Onsite,"Java, Git, Deep Learning",Bachelor,0,Manufacturing,2024-12-15,2025-02-11,909,7.1,Machine Intelligence Group
AI00066,AI Specialist,87938,USD,Senior-level,Full-Time,Ireland,Small,Ireland,Remote,"Mathematics, Spark, Python, AWS",PhD,8,Education,2024-12-15,2025-02-12,508,8.1,Machine Intelligence Group
AI00067,Autonomous Systems Engineer,71405,USD,Mid-level,Freelance,Israel,Large,Israel,Onsite,"SQL, Java, MLOps, Linux, PyTorch",Associate,4,Retail,2024-09-01,2024-10-29,1153,9.5,Advanced Robotics
AI00069,Machine Learning Researcher,72459,EUR,Entry-level,Part-Time,Germany,Medium,Germany,Remote,"Hadoop, Python, Kubernetes, Azure",Bachelor,0,Gaming,2024-08-30,2024-09-15,583,9.6,Quantum Computing Inc
AI00070,Principal Data Scientist,78338,EUR,Mid-level,Full-Time,France,Large,France,Remote,"MLOps, Kubernetes, Git, Python",Associate,3,Technology,2024-10-31,2024-12-15,548,8.7,Cognitive Computing
AI00071,NLP Engineer,51907,USD,Mid-level,Freelance,Israel,Medium,Singapore,Remote,"AWS, Kubernetes, Azure",Bachelor,4,Healthcare,2024-02-14,2024-04-02,912,8.2,Neural Networks Co
AI00072,Autonomous Systems Engineer,122831,EUR,Senior-level,Freelance,France,Small,France,Remote,"PyTorch, Kubernetes, Git, SQL",Master,7,Real Estate,2024-05-31,2024-06-19,761,8.4,Algorithmic Solutions
AI00073,Machine Learning Researcher,124820,USD,Mid-level,Freelance,Norway,Small,Norway,Hybrid,"NLP, Azure, Statistics, Spark, Mathematics",Associate,3,Real Estate,2024-08-02,2024-10-01,2077,9.9,Cognitive Computing
AI00074,Autonomous Systems Engineer,134200,GBP,Senior-level,Part-Time,United Kingdom,Small,United Kingdom,Hybrid,"Linux, R, Tableau",PhD,9,Retail,2024-11-29,2025-01-09,2396,7.8,Machine Intelligence Group
AI00075,Data Engineer,51920,USD,Entry-level,Part-Time,Sweden,Small,Finland,Remote,"Scala, R, Tableau, Data Visualization",PhD,0,Consulting,2025-04-08,2025-05-13,1778,7.9,Digital Transformation LLC
AI00076,Data Engineer,56427,USD,Entry-level,Freelance,Singapore,Medium,Singapore,Remote,"Mathematics, Kubernetes, Spark",Master,0,Energy,2024-11-16,2025-01-25,1366,5.2,DeepTech Ventures
AI00077,AI Product Manager,213783,USD,Executive,Full-Time,Canada,Small,Canada,Remote,"Kubernetes, Spark, Statistics, Scala",Bachelor,16,Energy,2024-09-19,2024-10-06,2383,9.2,Quantum Computing Inc
AI00078,ML Ops Engineer,59728,USD,Mid-level,Freelance,Israel,Medium,Israel,Hybrid,"MLOps, SQL, Statistics",Associate,2,Finance,2024-06-10,2024-08-13,1350,7.5,DataVision Ltd
AI00079,Computer Vision Engineer,119432,USD,Senior-level,Contract,India,Large,India,Onsite,"Scala, MLOps, NLP",PhD,6,Technology,2024-04-20,2024-06-08,1008,6.3,Autonomous Tech
AI00081,Data Analyst,157597,EUR,Executive,Contract,France,Large,France,Hybrid,"Git, Kubernetes, TensorFlow, R, Java",Bachelor,17,Manufacturing,2024-08-31,2024-09-15,639,8.4,Neural Networks Co
AI00082,ML Ops Engineer,196942,USD,Executive,Contract,Australia,Large,Australia,Remote,"R, Tableau, SQL, MLOps, Docker",Master,19,Gaming,2024-04-01,2024-04-16,826,7.5,TechCorp Inc
AI00083,Machine Learning Researcher,207548,USD,Executive,Contract,Canada,Medium,Canada,Onsite,"NLP, Azure, Spark, Data Visualization",PhD,10,Energy,2024-02-05,2024-03-11,2292,6.7,Cognitive Computing
AI00084,NLP Engineer,68838,USD,Mid-level,Freelance,Sweden,Small,Sweden,Hybrid,"Java, SQL, Spark, Tableau, Azure",PhD,3,Automotive,2024-06-20,2024-08-12,804,7.4,TechCorp Inc
AI00085,ML Ops Engineer,125666,USD,Executive,Freelance,Finland,Large,Finland,Remote,"Docker, Python, Git, Kubernetes, Java",PhD,13,Telecommunications,2024-06-19,2024-08-22,757,8.4,TechCorp Inc
AI00086,NLP Engineer,73174,USD,Entry-level,Full-Time,Denmark,Medium,Denmark,Hybrid,"Git, MLOps, Hadoop, Python, Spark",Associate,0,Finance,2024-07-14,2024-09-08,678,6.4,Machine Intelligence Group
AI00087,Autonomous Systems Engineer,33314,USD,Entry-level,Contract,Israel,Small,India,Hybrid,"SQL, Kubernetes, Docker",Bachelor,0,Manufacturing,2025-04-16,2025-06-15,1207,8.3,Future Systems
AI00088,AI Specialist,69914,USD,Entry-level,Full-Time,United States,Small,United States,Remote,"R, NLP, SQL, GCP",Associate,0,Transportation,2025-02-15,2025-04-15,1517,7.0,Smart Analytics
AI00089,Principal Data Scientist,152118,EUR,Executive,Freelance,France,Medium,France,Hybrid,"Spark, SQL, Python, Mathematics, Linux",Master,11,Automotive,2024-05-20,2024-07-14,1294,6.9,AI Innovations
AI00090,AI Software Engineer,78014,EUR,Entry-level,Contract,France,Large,France,Hybrid,"PyTorch, Hadoop, Scala, Computer Vision",PhD,0,Real Estate,2024-11-19,2024-12-07,841,6.8,Digital Transformation LLC
AI00091,Research Scientist,48466,USD,Entry-level,Part-Time,Canada,Small,Canada,Remote,"Hadoop, Spark, Kubernetes, Python",Bachelor,0,Automotive,2025-03-10,2025-05-14,1146,5.7,Predictive Systems
AI00092,Data Analyst,97997,EUR,Senior-level,Contract,France,Small,France,Hybrid,"Hadoop, Python, TensorFlow, R, Statistics",PhD,8,Technology,2024-06-19,2024-07-16,2419,6.0,Algorithmic Solutions
AI00093,Principal Data Scientist,128341,USD,Senior-level,Freelance,Singapore,Small,Singapore,Onsite,"Computer Vision, PyTorch, GCP, Linux",Bachelor,9,Finance,2025-04-26,2025-06-15,2457,6.9,Neural Networks Co
AI00094,AI Research Scientist,111528,USD,Mid-level,Freelance,United States,Large,United States,Onsite,"Java, Hadoop, Mathematics",PhD,3,Real Estate,2024-03-01,2024-05-08,1299,9.5,Predictive Systems
AI00095,Machine Learning Researcher,138945,USD,Executive,Part-Time,Canada,Small,Canada,Hybrid,"Linux, R, NLP, PyTorch, Git",Master,19,Education,2024-07-10,2024-09-15,1559,8.9,DeepTech Ventures
AI00096,NLP Engineer,98688,USD,Senior-level,Full-Time,Israel,Medium,Israel,Hybrid,"Statistics, Python, TensorFlow, PyTorch, Git",Bachelor,8,Manufacturing,2024-04-10,2024-05-03,598,8.6,Cognitive Computing
AI00097,Data Analyst,109029,EUR,Senior-level,Full-Time,France,Small,France,Onsite,"Kubernetes, Scala, Java",Bachelor,6,Technology,2025-04-05,2025-06-13,2049,6.1,Predictive Systems
AI00098,NLP Engineer,84797,USD,Mid-level,Full-Time,Canada,Medium,Canada,Onsite,"Deep Learning, Statistics, Computer Vision, TensorFlow, Mathematics",Master,4,Real Estate,2024-12-04,2025-01-03,1909,6.2,Machine Intelligence Group
AI00100,AI Research Scientist,195691,USD,Senior-level,Contract,United States,Large,United States,Onsite,"AWS, Kubernetes, Docker, Mathematics, MLOps",PhD,8,Transportation,2024-04-20,2024-06-22,916,8.7,Advanced Robotics
AI00101,AI Product Manager,193448,USD,Senior-level,Full-Time,Norway,Large,Norway,Remote,"Scala, Git, Java",Associate,9,Consulting,2025-01-02,2025-03-11,579,6.6,Cognitive Computing
AI00102,AI Product Manager,138466,USD,Executive,Part-Time,Israel,Large,Israel,Remote,"Azure, AWS, PyTorch, GCP, Hadoop",Associate,16,Government,2024-01-25,2024-04-04,1690,9.5,Smart Analytics
AI00103,Data Analyst,91577,EUR,Mid-level,Contract,Netherlands,Medium,Netherlands,Remote,"Spark, Mathematics, PyTorch, SQL, TensorFlow",Bachelor,3,Transportation,2024-01-27,2024-02-28,859,6.5,Algorithmic Solutions
AI00104,Computer Vision Engineer,92875,USD,Mid-level,Full-Time,Sweden,Small,Sweden,Onsite,"SQL, Python, Deep Learning",PhD,3,Real Estate,2024-07-21,2024-09-27,701,5.3,Digital Transformation LLC
AI00105,Data Engineer,213287,GBP,Executive,Full-Time,United Kingdom,Small,United Kingdom,Remote,"TensorFlow, GCP, PyTorch, Spark",Master,13,Healthcare,2025-03-03,2025-04-03,1102,6.3,Cloud AI Solutions
AI00106,NLP Engineer,62171,USD,Mid-level,Full-Time,Japan,Small,Japan,Onsite,"Git, SQL, PyTorch, Mathematics",Bachelor,2,Consulting,2024-09-15,2024-11-07,2162,8.1,AI Innovations
AI00107,AI Research Scientist,152658,USD,Executive,Freelance,South Korea,Large,United Kingdom,Hybrid,"Data Visualization, PyTorch, Spark, TensorFlow",Associate,16,Automotive,2024-01-28,2024-03-17,548,9.0,TechCorp Inc
AI00108,ML Ops Engineer,95085,USD,Mid-level,Full-Time,Norway,Medium,Norway,Remote,"TensorFlow, SQL, NLP, Computer Vision, Git",Associate,2,Retail,2024-03-20,2024-04-20,2298,6.5,Predictive Systems
AI00109,Deep Learning Engineer,86750,EUR,Mid-level,Freelance,France,Small,France,Remote,"Java, R, Git, Mathematics, Spark",PhD,2,Government,2024-12-13,2025-02-24,1397,7.1,AI Innovations
AI00110,AI Specialist,64261,USD,Mid-level,Part-Time,Israel,Medium,Israel,Onsite,"PyTorch, Docker, GCP",Master,2,Transportation,2024-09-04,2024-10-10,2385,8.8,TechCorp Inc
AI00111,Machine Learning Researcher,205357,USD,Executive,Part-Time,United States,Small,United States,Remote,"Computer Vision, Hadoop, Git, AWS",Bachelor,18,Education,2024-03-08,2024-05-13,1646,6.6,Predictive Systems
AI00112,AI Architect,165676,EUR,Executive,Contract,France,Small,France,Hybrid,"TensorFlow, Linux, SQL, Hadoop",Associate,18,Government,2024-05-13,2024-06-25,926,7.8,Neural Networks Co
AI00113,Computer Vision Engineer,114658,EUR,Senior-level,Contract,France,Medium,France,Remote,"SQL, Scala, Python",Bachelor,9,Telecommunications,2024-03-18,2024-04-20,1560,8.2,Algorithmic Solutions
AI00114,Data Scientist,143149,EUR,Senior-level,Freelance,France,Large,France,Hybrid,"NLP, Computer Vision, Mathematics, Statistics, R",Master,6,Real Estate,2024-03-13,2024-05-10,1169,9.1,Digital Transformation LLC
AI00115,Machine Learning Researcher,116276,EUR,Senior-level,Freelance,Germany,Small,Germany,Hybrid,"Azure, R, Linux, MLOps",Bachelor,7,Technology,2024-08-14,2024-09-06,608,7.9,Future Systems
AI00116,NLP Engineer,61055,USD,Entry-level,Freelance,United States,Medium,Ireland,Remote,"R, AWS, Computer Vision, Statistics, Docker",Bachelor,0,Retail,2024-06-04,2024-07-16,1891,6.9,Autonomous Tech
AI00117,ML Ops Engineer,50303,USD,Entry-level,Full-Time,Austria,Large,Austria,Remote,"Kubernetes, SQL, Azure, Deep Learning, Linux",Master,0,Gaming,2024-08-11,2024-10-02,2015,7.0,DataVision Ltd
AI00118,Data Analyst,65570,USD,Senior-level,Freelance,Ireland,Small,Ireland,Hybrid,"PyTorch, SQL, MLOps, AWS, TensorFlow",Associate,7,Retail,2024-10-22,2024-11-06,635,9.9,Smart Analytics
AI00119,AI Software Engineer,231078,USD,Executive,Freelance,Singapore,Medium,Singapore,Hybrid,"MLOps, R, Git, Mathematics",Bachelor,17,Consulting,2024-04-15,2024-06-03,784,7.6,Neural Networks Co
AI00120,AI Product Manager,106633,USD,Senior-level,Full-Time,Australia,Medium,South Korea,Remote,"Linux, Scala, SQL, Git",Bachelor,9,Automotive,2024-05-18,2024-06-25,1243,5.5,Algorithmic Solutions
AI00121,AI Specialist,121180,USD,Senior-level,Freelance,Austria,Large,Austria,Onsite,"Git, Deep Learning, Kubernetes, Linux, GCP",Master,9,Media,2025-01-06,2025-02-01,611,7.0,Quantum Computing Inc
AI00122,Principal Data Scientist,64531,USD,Entry-level,Part-Time,China,Large,Netherlands,Hybrid,"Git, SQL, Scala, Python, Computer Vision",PhD,0,Retail,2025-03-26,2025-04-13,1645,7.0,Smart Analytics
AI00123,Machine Learning Engineer,125654,USD,Mid-level,Contract,Singapore,Large,Singapore,Hybrid,"Python, Tableau, Java",PhD,4,Automotive,2024-06-20,2024-08-25,1212,6.8,DataVision Ltd
AI00124,Machine Learning Researcher,182275,USD,Executive,Full-Time,Austria,Large,Austria,Onsite,"Docker, AWS, Linux, Git, Azure",PhD,14,Technology,2025-04-19,2025-05-14,2427,9.0,DeepTech Ventures
AI00125,Machine Learning Researcher,117708,USD,Mid-level,Freelance,Denmark,Large,Denmark,Onsite,"PyTorch, Scala, Linux, Tableau, Deep Learning",PhD,4,Transportation,2024-02-24,2024-03-17,1912,9.3,Neural Networks Co
AI00126,Data Engineer,143246,USD,Executive,Full-Time,South Korea,Small,South Korea,Onsite,"Docker, SQL, Kubernetes, Git, Statistics",Master,11,Healthcare,2024-12-25,2025-01-24,1426,8.4,Future Systems
AI00127,AI Product Manager,203198,USD,Senior-level,Full-Time,Denmark,Large,Denmark,Hybrid,"Statistics, R, Python, TensorFlow",Master,5,Consulting,2024-12-04,2025-01-11,1596,7.6,DeepTech Ventures
AI00128,Research Scientist,69487,USD,Entry-level,Contract,Switzerland,Small,Switzerland,Onsite,"Kubernetes, Azure, Spark, TensorFlow, Linux",Master,0,Transportation,2024-11-04,2024-12-02,1825,7.7,Machine Intelligence Group
AI00129,AI Product Manager,95673,USD,Executive,Freelance,Ireland,Small,Ireland,Onsite,"GCP, R, Azure, Deep Learning, PyTorch",Associate,17,Technology,2024-08-24,2024-09-15,1467,8.1,Neural Networks Co
AI00130,AI Software Engineer,59405,USD,Entry-level,Freelance,Austria,Large,Austria,Remote,"Spark, Python, Deep Learning, Linux, Java",Bachelor,1,Consulting,2025-03-18,2025-04-12,984,6.0,Smart Analytics
AI00131,AI Specialist,131756,EUR,Senior-level,Part-Time,Netherlands,Medium,Finland,Onsite,"AWS, R, Spark",PhD,5,Technology,2024-08-03,2024-10-15,2308,7.9,AI Innovations
AI00132,AI Software Engineer,42835,USD,Entry-level,Part-Time,South Korea,Large,France,Onsite,"Python, TensorFlow, PyTorch",Bachelor,0,Media,2025-03-02,2025-03-30,539,9.0,Machine Intelligence Group
